Date,Value
2013-09-07,630089.545296
2013-09-06,2359078.6831
2013-09-05,1671586.6833
2013-09-04,3558189.52271
2013-09-03,1165618.1081
2013-09-02,1577335.62095
2013-09-01,1084020.80584
2013-08-31,2168732.964
2013-08-30,2420599.19249
2013-08-29,1673618.20412
2013-08-28,2186360.586
2013-08-27,1313735.33897
2013-08-26,2393060.75745
2013-08-25,471837.888
2013-08-24,927782.878554
2013-08-23,483357.366862
2013-08-22,2642284.0089
2013-08-21,1576756.03376
2013-08-20,2178352.13823
2013-08-19,274252.698
2013-08-18,1879331.07289
2013-08-17,494040.7063
2013-08-16,935028.0256
2013-08-15,808676.273788
2013-08-14,1071052.50588
2013-08-13,2036034.864
2013-08-12,2483614.52471
2013-08-11,820406.742112
2013-08-10,1128720.356
2013-08-09,510114.187395
2013-08-08,1338741.04314
2013-08-07,1302961.3344
2013-08-06,931663.625241
2013-08-05,1133582.42176
2013-08-04,875589.454
2013-08-03,542437.000041
2013-08-02,847828.085755
2013-08-01,4759776.738
2013-07-31,1611370.63666
2013-07-30,5807821.22601
2013-07-29,4147378.935
2013-07-28,3138902.23092
2013-07-27,3179627.37552
2013-07-26,2101653.41
2013-07-25,1117117.72227
2013-07-24,2223482.50136
2013-07-23,758948.7766
2013-07-22,2348345.51174
2013-07-21,693136.370917
2013-07-20,2468011.32
2013-07-19,1310049.7982
2013-07-18,2080220.95898
2013-07-17,1531533.4335
2013-07-16,1550144.17905
2013-07-15,1786082.59685
2013-07-14,3355722.86
2013-07-13,1661401.50583
2013-07-12,3785155.40561
2013-07-11,5225816.736
2013-07-10,6439647.31053
2013-07-09,1867056.47291
2013-07-08,3120555.75
2013-07-07,5452234.26753
2013-07-06,2220238.98174
2013-07-05,5115546.0948
2013-07-04,3952252.56831
2013-07-03,7595580.48181
2013-07-02,4571517.66
2013-07-01,3523000.56366
2013-06-30,3447066.13603
2013-06-29,4492672.9905
2013-06-28,3298354.37503
2013-06-27,3870268.17574
2013-06-26,9714068.226
2013-06-25,1912907.61399
2013-06-24,9346237.41777
2013-06-23,779442.8125
2013-06-22,1154882.48106
2013-06-21,938452.83586
2013-06-20,1876004.1904
2013-06-19,4122616.9296
2013-06-18,2853373.54561
2013-06-17,860747.391
2013-06-16,1345147.55816
2013-06-15,1265613.59536
2013-06-14,3144556.358
2013-06-13,5432334.34644
2013-06-12,1087043.74903
2013-06-11,6803929.872
2013-06-10,1603831.4172
2013-06-09,8842004.389
2013-06-08,7339966.95
2013-06-07,2521636.93457
2013-06-06,7662141.61041
2013-06-05,2722441.5998
2013-06-04,1779222.8639
2013-06-03,2955801.57582
2013-06-02,818734.065
2013-06-01,11628005.8376
2013-05-31,1577293.26163
2013-05-30,2538895.212
2013-05-29,2792371.23183
2013-05-28,1618565.51387
2013-05-27,3113915.535
2013-05-26,2246642.66472
2013-05-25,3067074.3832
2013-05-24,2797850.216
2013-05-23,4850475.80115
2013-05-22,2969063.3073
2013-05-21,2103682.1494
2013-05-20,1779133.8849
2013-05-19,1983151.42975
2013-05-18,10297629.4224
2013-05-17,4669566.86334
2013-05-16,9881054.59942
2013-05-15,9642025.12
2013-05-14,19896442.9489
