Date,Value
2021-12-16,138316737.55084777
2021-12-15,169588347.7797351
2021-12-14,178007627.4567432
2021-12-13,169588347.7797351
2021-12-12,168385593.54016247
2021-12-11,176161777.07292455
2021-12-10,173208616.55983782
2021-12-09,180980798.07213816
2021-12-08,186532356.29520994
2021-12-07,170987993.2706091
2021-12-06,190973602.87366727
2021-12-05,184311733.00598127
2021-12-04,172098304.91522342
2021-12-03,186532356.29520994
2021-12-02,172098304.91522342
2021-12-01,152112695.31216523
2021-11-30,148781760.37832215
2021-11-29,158774565.17985132
2021-11-28,155225116.619112
2021-11-27,161180737.1899209
2021-11-26,148782218.94454235
2021-11-25,146527942.89992806
2021-11-24,176960669.50222084
2021-11-23,148782218.94454235
2021-11-22,158926461.1453066
2021-11-21,148782218.94454235
2021-11-20,163435013.23453516
2021-11-19,154417909.05607805
2021-11-18,162307875.21222803
2021-11-17,167943565.3237637
2021-11-16,169070703.34607086
2021-11-15,170197841.36837798
2021-11-14,175094161.92837763
2021-11-13,164733856.36439747
2021-11-12,152890245.77610743
2021-11-11,170117315.72271112
2021-11-10,160427088.87774655
2021-11-09,163657164.49273473
2021-11-08,145353402.67446837
2021-11-07,164733856.36439747
2021-11-06,165810548.2360602
2021-11-05,166887240.1077229
2021-11-04,153966937.6477702
2021-11-03,173347391.33769932
2021-11-02,170117315.72271112
2021-11-01,159350397.00608382
2021-10-31,140175299.14944655
2021-10-30,154737198.72913387
2021-10-29,170710070.85601225
2021-10-28,152740589.71327412
2021-10-27,156733807.7449937
2021-10-26,149745676.18948442
2021-10-25,181691420.4432411
2021-10-24,152740589.71327412
2021-10-23,144754153.64983496
